Manhattan Rolling Sales.  All Sales From October 2021 - September 2022																			 PTS Sales Data as of 10/11/2022 	
For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.                   Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.																		  	  	
Building Class Category is based on Building Class at Time of Sale.																				
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.																				
BOROUGH	NEIGHBORHOOD	BUILDING CLASS CATEGORY	TAX CLASS AT PRESENT	BLOCK	LOT	EASEMENT	BUILDING CLASS AT PRESENT	ADDRESS	APARTMENT NUMBER	ZIP CODE	RESIDENTIAL UNITS	COMMERCIAL UNITS	TOTAL UNITS	LAND SQUARE FEET	GROSS SQUARE FEET	YEAR BUILT	TAX CLASS AT TIME OF SALE	BUILDING CLASS AT TIME OF SALE	 SALE PRICE 	SALE DATE
1	ALPHABET CITY	02 TWO FAMILY DWELLINGS	1	377	1		S2	110 AVENUE C		10009	2	1	3	1,502	2,790	1901	1	S2	2,999,999	15-09-2022
1	ALPHABET CITY	02 TWO FAMILY DWELLINGS	1	377	70		B1	235 EAST 7TH STREET		10009	2	0	2	882	2,160	2003	1	B1	3,025,000	16-12-2021
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2B	373	16		C1	326 EAST 4TH STREET		10009	10	0	10	2,204	8,625	1899	2	C1	16,800,000	04-08-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2B	373	17		C1	328 EAST 4TH STREET		10009	10	0	10	2,204	8,625	1900	2	C1	16,800,000	04-08-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2	376	54		C4	719 EAST SIXTH STREET, 1B		10009	20	0	20	2,302	9,750	1900	2	C4	158,822	27-09-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2A	377	52		C2	271 EAST 7TH STREET		10009	5	0	5	2,168	3,728	1900	2	C2	0	05-08-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2A	377	52		C2	271 EAST 7TH STREET		10009	5	0	5	2,169	3,728	1900	2	C2	0	10-05-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2B	379	25		C7	434 EAST 10TH STREET, 4		10009	7	1	8	4,337	14,347	1920	2	C7	1,635,000	05-08-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2	385	46		C4	248 EAST 2 STREET		10009	20	0	20	2,623	11,017	1900	2	C4	0	15-11-2021
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2B	389	45		C4	631 EAST 6TH STREET		10009	10	0	10	2,271	6,985	1900	2	C4	5,250,000	16-06-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2B	389	47		C4	627 EAST 6TH STREET		10009	10	0	10	2,248	6,985	1910	2	C4	5,650,000	30-03-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2	390	50		C1	209 EAST 7 STREET, 5W		10009	29	0	29	3,900	18,099	1900	2	C1	235,251	22-06-2022
1	ALPHABET CITY	07 RENTALS - WALKUP APARTMENTS	2	390	57		C7	197 EAST 7TH STREET		10009	10	1	11	1,600	5,320	1910	2	C7	10	13-01-2022
